"sep=,"
"received_message","pattern_matching","reply_message","multiple_replies","multiple_reply_delay","multiple_reply_delay_max","recipients","contacts","ignored_contacts","reply_delay","reply_delay_max","specific_times","monday","tuesday","wednesday","thursday","friday","saturday","sunday","pause_type","pause_value","disabled","subrule_of","go_to_rule","req_screen_off","req_charging","req_silent","req_do_not_disturb","req_car_mode","prev_rule_timeout","priority_alert","probability","package_names","label"
"*","none","-︵ٜ⊹۬︵߭ꥈ̟⏜ׄ︵̇୨ ꥇ👋😃 ୧̟︵۬߭⏜ꥇ̇︵⊹︵\n    🎊   *B I E N V E N I D O / A*✨\n  ⏝۬̇ꥇ︶ꥇ⊹۬︶̇⏝۬︶ᨘ⊹߭︶ׅꥇ⏝߭︶۬⊹ꥈ︶⏝\n\n\n ◌⃞👤Usuario :*%name%*\n ◌⃞🪀Grupo :*%chat_name%*\n ◌⃞⏰Hora :*%hour%:%minute%  %am/pm%*\n\nUse ""/menu"" para ver la lista","single","","","g","","","","","0","","","","","","","","messages","1000000","0","","",,,,"1",,,,,,
"*https:*","normal","*🀃 ᴳᴼᴷᵁ (𐫱) 𝙱 𝙻 𝙰 𝙲 𝙺  🀃  🜲* 🔥\n\n𝑯𝒆𝒚 _!%name%!_ 𝒆𝒍 \n𝒂𝒏𝒕𝒊𝒍𝒊𝒏𝒌 𝒆𝒔𝒕𝒂 𝒂𝒄𝒕𝒊𝒗𝒐 𝒔𝒆𝒓𝒂𝒔 \n𝒆𝒍𝒊𝒎𝒊𝒏𝒂𝒅𝒐 𝒅𝒆𝒍 𝒈𝒓𝒖𝒑𝒐 ... 😤<#>*🀃 ᴳᴼᴷᵁ (𐫱) 𝙱 𝙻 𝙰 𝙲 𝙺  🀃  🜲* 🔥\n\n𝑼𝒔𝒖𝒂𝒓𝒊𝒐 _!%name%!_\n𝒉𝒂 𝒔𝒊𝒅𝒐 𝒆𝒍𝒊𝒎𝒊𝒏𝒂𝒅𝒐 𝒆𝒙𝒊𝒕𝒐𝒔𝒂𝒎𝒆𝒏𝒕𝒆 ⚠️","all","10","10","g","","","","","0","","","","","","","","seconds","1","0","","",,,,"1",,,"1",,,
"/delete","none","*🀃 ᴳᴼᴷᵁ (𐫱) 𝙱 𝙻 𝙰 𝙲 𝙺  🀃  🜲* 🔥\n\n*𝐒𝐞 𝐞𝐬𝐭𝐚 𝐞𝐥𝐢𝐦𝐢𝐧𝐚𝐧𝐝𝐨 𝐞𝐥 𝐦𝐞𝐧𝐬𝐚𝐣𝐞* \n*𝐩𝐨𝐫 𝐟𝐚𝐯𝐨𝐫 𝐞𝐬𝐩𝐞𝐫𝐞 𝐮𝐧 𝐦𝐨𝐦𝐞𝐧𝐭𝐨 ...*\n\nSi el bot no es admin no podra \neliminar el mensaje ❌<#>*🀃 ᴳᴼᴷᵁ (𐫱) 𝙱 𝙻 𝙰 𝙲 𝙺  🀃  🜲* 🔥\n\n𝐒𝐞 𝐞𝐥𝐢𝐦𝐢𝐧𝐨 𝐞𝐥 𝐦𝐞𝐧𝐬𝐚𝐣𝐞 𝐜𝐨𝐧 𝐞𝐱𝐢𝐭𝐨 ✅","all","5","5","g","","","","","0","","","","","","","","seconds","1","0","","",,,,"1",,,,,,
"/tag all","none","*🀃 ᴳᴼᴷᵁ (𐫱) 𝙱 𝙻 𝙰 𝙲 𝙺  🀃  🜲* 🔥\n\n𝑰𝒏𝒗𝒐𝒄𝒂𝒏𝒅𝒐 𝒂𝒍 𝒈𝒓𝒖𝒑𝒐 🔱\n\n𝐍𝐨𝐦𝐛𝐫𝐞 𝐝𝐞𝐥 𝐠𝐫𝐮𝐩𝐨 : 🪀\n%chat_name%\n\n𝐔𝐬𝐮𝐚𝐫𝐢𝐨 :  👤\n%name%\n\n❃━━━━━━━━━━━━━━━━❃\n> @%name%\n> @+51913444298\n> @\n> @\n> @\n> @\n> @","single","","","g","","","","","0","","","","","","","","seconds","1","0","","",,,,"1",,,,,,
